20
20
1
12
12:13
14
12,12,12,12,12,12,12,12,12,12,00,00,00,00,00,00,00,00,00,00
12,10,10,10,12,10,12,12,10,12,00,00,00,00,00,00,00,00,00,00
12,10,10,10,12,10,10,10,10,12,00,00,00,00,00,00,00,00,00,00
12,10,12,10,12,12,12,10,12,12,00,00,00,00,00,00,00,00,00,00
12,10,12,10,10,10,10,10,12,12,00,00,00,00,00,00,00,00,00,00
12,12,10,10,12,12,12,10,10,12,00,00,00,00,00,00,00,00,00,00
12,12,10,12,12,10,12,10,12,12,00,00,00,00,00,00,00,00,00,00
12,10,10,10,10,10,10,10,12,12,00,00,00,00,00,00,00,00,00,00
12,10,12,12,12,10,12,12,12,12,00,00,00,00,00,00,00,00,00,00
12,11,12,11,11,11,11,11,12,12,00,00,00,00,00,00,00,00,00,00
12,11,11,11,12,11,12,11,12,12,12,12,12,12,12,12,12,12,12,12
12,12,11,12,12,11,12,11,09,14,09,09,09,09,09,09,09,09,12,12
12,11,11,11,11,11,12,12,12,09,12,09,09,12,09,12,09,09,09,12
12,12,11,12,12,11,12,11,12,09,12,09,12,12,09,12,09,12,12,12
12,11,11,12,11,11,11,11,09,09,12,09,09,12,09,12,09,09,09,12
12,12,11,12,11,12,12,11,12,12,12,09,12,12,12,12,09,09,09,12
12,11,11,12,11,12,12,11,12,09,09,09,09,09,12,09,09,12,09,12
12,12,12,12,11,12,12,11,12,12,12,12,12,12,12,12,09,12,09,12
12,11,11,11,11,11,12,11,12,09,09,09,09,09,09,09,09,12,09,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
